Timestamp,What grade are you in?,How many times do you order from the cafeteria per week?,If you answered the question above  what's your favorite daily special?,What Pre-AP/AP courses do you take?,How long do you think you study every night?,How hard do you think schools is right now?,How long does it take for you to commute to school?,When do you arrive at school?,How do you get to school?,Are you a night owl or an early bird?,
3/3/2022 16:54:26,Grade 11,3,Burgers,Chemistry  Biology  Physics  Math,<3 hours,4,<10 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:13:14,Grade 10,5,butter chicken,Math  GH  Mandarin,<3 hours,3,<15 minutes,8:00:00 AM,Walk or Bike,Night owl,
3/3/2022 13:20:35,Grade 11,2,Butter Chicken,Chemistry  Math  GH  English  Spanish,<2 hours,3,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:21:49,Grade 12,5,Butter chicken,Chemistry  Biology  Math  GH,<1 hour,1,<15 minutes,8:20:00 AM,I ride my pet horse Chadwick ,Night owl,Marco?
3/3/2022 13:39:56,Grade 10,4,Butter Chicken,Math  GH  English  French,<3 hours,3,<10 minutes,7:30:00 AM,Someone else drives me,Early bird,
3/3/2022 13:44:50,Grade 11,1,Butter Chicken,Physics  English,<4 hours,4,<10 minutes,7:45:00 AM,Someone else drives me,Night owl,
3/3/2022 13:48:29,Grade 11,1,Butter Chicken,Chemistry  Biology  Physics  Math  English,>4 hours,3,<10 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 17:34:44,Grade 10,1,Butter Chicken,Math  English,<2 hours,3,<30 minutes,8:00:00 AM,Someone else drives me,Early bird,
3/4/2022 13:38:13,Grade 11,3,Butter Chicken,Chemistry  Physics  Math,<3 hours,4,<30 minutes,7:40:00 AM,Someone else drives me,Night owl,
3/5/2022 16:38:46,Grade 10,1,Butter Chicken,Chemistry  Biology  Physics  Math  GH  English  Spanish,<4 hours,4,<30 minutes,7:40:00 AM,School Bus/Public Transit,Early bird,
3/3/2022 13:13:39,Grade 11,5,butter chicken and rice,Chemistry  Biology  Math  English,<3 hours,4,<10 minutes,8:10:00 AM,Walk or Bike,Night owl,
3/3/2022 13:14:15,Grade 10,3,Butter Chicken and Rice ,Math  English,<1 hour,3,<10 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/7/2022 14:06:19,Grade 10,5,Butter chiken,Chemistry  Biology  Physics  Math  GH  English  French,<1 hour,2,<30 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:17:12,Grade 12,5,Chicken Chili,Biology  Math  GH  Spanish,<4 hours,4,<30 minutes,7:20:00 AM,I drive myself,Early bird,
3/3/2022 13:21:21,Grade 11,1,Chicken Chilli,Biology,<1 hour,3,<30 minutes,8:00:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 14:30:44,Grade 11,1,Chicken or Cheese Quesadilla ,Chemistry  Physics  Math,<3 hours,3,<10 minutes,8:00:00 AM,Walk or Bike,Night owl,
3/3/2022 13:19:32,Grade 11,4,chicken quesadilla,Spanish,<3 hours,4,<10 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 13:14:19,Grade 10,5,Chicken Souvlaki,Math  GH,<1 hour,1,<30 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/3/2022 13:16:28,Grade 11,4,chicken souvlaki,Chemistry  Biology  Physics,<3 hours,4,<30 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 13:17:38,Grade 11,2,Chicken souvlaki,Biology  GH  English,<2 hours,4,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:17:46,Grade 11,3,Chicken Souvlaki,Chemistry  Biology  Physics  Math  English,<2 hours,2,<30 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:18:00,Grade 12,5,Chicken Souvlaki,Chemistry  Biology  Math  GH,<2 hours,3,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:20:53,Grade 12,5,Chicken Souvlaki,Physics  Math  GH  English  Programming,<1 hour,1,<10 minutes,9:20:00 PM,My boyfriend Marco drives me,Night owl,Michael?
3/3/2022 13:22:14,Grade 11,5,Chicken Souvlaki,Chemistry  Physics  Math,<2 hours,3,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:48:23,Grade 11,5,chicken souvlaki,Chemistry  Math  English,>4 hours,4,<15 minutes,7:45:00 AM,I drive myself,Night owl,
3/3/2022 15:08:51,Grade 10,5,Chicken Souvlaki,Math  Spanish,>4 hours,4,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/4/2022 13:19:24,Grade 10,4,chicken souvlaki,Math,<4 hours,5,<45 minutes,8:10:00 AM,School Bus/Public Transit,Early bird,
3/3/2022 13:16:33,Grade 11,0,Chicken Souvlaki ,Chemistry  Biology  Physics  Math  GH  English,<1 hour,3,<45 minutes,8:20:00 AM,I drive myself,Night owl,
3/3/2022 13:20:50,Grade 11,5,Chicken Souvlaki ,English,<2 hours,4,<30 minutes,7:55:00 AM,Someone else drives me,Night owl,
3/3/2022 13:39:24,Grade 11,3,chicken souvlaki ,Chemistry  Physics,>4 hours,4,<15 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:56:28,Grade 11,2,chicken teriyaki,Programming,<1 hour,4,<15 minutes,7:55:00 AM,Someone else drives me,Night owl,
3/3/2022 13:21:02,Grade 11,1,Chili,Chemistry  Biology  Math  English,<1 hour,3,<10 minutes,8:15:00 AM,Someone else drives me,Night owl,
3/3/2022 13:41:10,Grade 12,2,Chili,Chemistry  Biology  Math  GH  English  French,<3 hours,4,<10 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:15:07,Grade 11,4,chili & bun,Chemistry  Physics  Math  GH  Mandarin,<2 hours,4,<15 minutes,8:10:00 AM,Walk or Bike,Night owl,
3/3/2022 13:17:40,Grade 11,5,Chili and the Pretzel Bun,Chemistry  Biology  English,<3 hours,4,<15 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 15:40:59,Grade 10,2,Don’t order specials ,No AP,<4 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:19:44,Grade 12,4,Dumpling,Chemistry  Biology  Math,<3 hours,4,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:57:57,Grade 12,0,Dumpling Day,No AP,<4 hours,4,<10 minutes,7:40:00 AM,Someone else drives me,Night owl,
3/3/2022 13:14:16,Grade 11,3,dumplings,Chemistry  Biology  Math,<3 hours,3,<10 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 13:16:37,Grade 12,5,Dumplings,Math,<1 hour,2,<10 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 13:17:01,Grade 11,1,Dumplings,Chemistry  Biology  Physics  Math,<2 hours,3,<15 minutes,8:10:00 AM,I drive myself,Early bird,
3/3/2022 13:18:30,Grade 12,1,dumplings,GH,<1 hour,3,<10 minutes,7:55:00 AM,Walk or Bike,Early bird,
3/3/2022 13:37:54,Grade 12,2,dumplings,Physics  Math  Programming,<1 hour,3,<30 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/3/2022 13:38:56,Grade 11,1,Dumplings,Chemistry  Biology,<3 hours,5,<45 minutes,8:50:00 AM,I drive myself,Night owl,
3/3/2022 13:39:36,Grade 12,5,dumplings,Chemistry  Physics  Math  GH  English,<1 hour,1,<10 minutes,6:30:00 AM,I drive myself,Early bird,
3/3/2022 13:43:48,Grade 12,5,Dumplings,Chemistry  Biology  Physics  Math  GH  Programming,<2 hours,2,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:45:22,Grade 12,1,dumplings,No AP,<2 hours,4,<15 minutes,8:14:00 AM,I drive myself,Night owl,
3/3/2022 20:48:16,Grade 12,4,Dumplings,Chemistry  Physics  Math  GH,<2 hours,4,<10 minutes,8:00:00 AM,I drive myself,Night owl,
3/4/2022 8:28:15,Grade 10,5,Dumplings,Math  English,<3 hours,3,<30 minutes,6:50:00 AM,Someone else drives me,Night owl,
3/4/2022 10:21:12,Grade 10,1,Dumplings,English,<4 hours,3,<10 minutes,8:45:00 AM,Someone else drives me,Night owl,
3/6/2022 9:50:49,Grade 11,4,dumplings,Chemistry  Biology  Physics  Math,<2 hours,4,<10 minutes,7:45:00 AM,I drive myself,Early bird,
3/3/2022 14:00:50,Grade 12,5,Dumplings ,No AP,<3 hours,3,<15 minutes,8:03:00 AM,I drive myself,Night owl,
3/4/2022 8:48:33,Grade 10,5,Dumplings ,GH,<2 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 18:17:48,Grade 11,1,dumplings & noodles,Chemistry  Biology  Physics  Math  English,<1 hour,4,<30 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:25:23,Grade 12,2,Dumplings and Noodles,GH,<2 hours,3,<10 minutes,7:55:00 AM,I drive myself,Night owl,
3/3/2022 18:55:54,Grade 11,5,Dumplings and noodles,Chemistry  Biology  Physics  Math,<4 hours,3,<15 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:43:37,Grade 11,2,Either Chicken Souvlaki or Chicken Chili,Chemistry  Biology  Math  English,<3 hours,3,<15 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 15:41:46,Grade 10,4,Greek pita ,GH  English,<4 hours,4,<30 minutes,7:30:00 AM,Someone else drives me,Early bird,
3/3/2022 13:33:45,Grade 10,2,Greek Souvlaki,Math  GH  English,<3 hours,4,<10 minutes,6:35:00 AM,Someone else drives me,Night owl,
3/3/2022 13:15:54,Grade 10,5,Greek Souvlaki,Math  GH  English,<3 hours,3,<45 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 19:34:24,Grade 10,0,Greek Souvlaki,Math,<3 hours,1,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:47:17,Grade 11,5,I do not order any specials.,Chemistry  Biology  Physics,<1 hour,2,<30 minutes,8:06:00 AM,I drive myself,Early bird,
3/3/2022 13:22:33,Grade 11,1,I don't order special. I order the salad or snacks,Biology  Math  French,>4 hours,3,<10 minutes,7:45:00 AM,Someone else drives me,Night owl,
3/3/2022 13:10:22,Grade 10,0,I haven't ever eaten from the cafeteria,Math,<1 hour,3,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,Bad answer (don't include)
3/3/2022 13:14:10,Grade 10,1,Lasagna,Math  GH,<2 hours,3,<30 minutes,7:40:00 AM,Someone else drives me,Night owl,
3/3/2022 13:58:09,Grade 11,1,lasagna ,Chemistry  Biology  Physics  Math  Mandarin,<3 hours,3,<10 minutes,8:10:00 AM,Walk or Bike,Night owl,
3/3/2022 18:37:13,Grade 11,2,LEMON LOAF,Biology,<1 hour,3,>60 minutes,7:45:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 13:20:49,Grade 11,3,Lemongrass Chicken,Chemistry  Math  English  Mandarin,<3 hours,5,<10 minutes,8:11:00 AM,Walk or Bike,Night owl,
3/3/2022 13:16:09,Grade 12,5,Mac and Cheese,Chemistry  Biology  Physics  Math  GH,<1 hour,2,<10 minutes,8:17:00 AM,I drive myself,Early bird,
3/3/2022 13:37:19,Grade 10,2,Mac and cheese ,Math,>4 hours,4,<10 minutes,7:24:00 PM,I ride my scooter,Night owl,
3/3/2022 14:21:12,Grade 11,1,Macaroni and Cheese,Chemistry  Physics  Math,<1 hour,4,<15 minutes,7:45:00 AM,I drive myself,Night owl,
3/3/2022 13:20:16,Grade 12,0,N/A,Chemistry  Biology  Math,<3 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/7/2022 17:29:04,Grade 10,1,N/A,Math  English  French,<4 hours,4,<15 minutes,7:55:00 AM,Someone else drives me,Night owl,
3/3/2022 13:13:12,Grade 10,2,N/A  I like the banana bread the most,Math,<2 hours,4,<10 minutes,8:00:00 AM,Someone else drives me,Early bird,
3/3/2022 13:20:30,Grade 10,4,pasta,Math  GH  English,<3 hours,3,<10 minutes,8:00:00 AM,Walk or Bike,Night owl,
3/3/2022 13:42:05,Grade 12,5,pepperoni pizza,Chemistry  Biology  Math,<1 hour,5,<30 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 13:15:44,Grade 10,5,perogies,Math  Mandarin,<1 hour,3,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 20:58:33,Grade 12,5,Perogies,Biology,>4 hours,2,<10 minutes,7:45:00 AM,I drive myself,Early bird,
3/3/2022 22:35:04,Grade 10,0,Perogies,Math,<2 hours,4,<10 minutes,7:45:00 AM,Someone else drives me,Early bird,
3/3/2022 13:16:27,Grade 10,5,Perogies ,English,<3 hours,2,<30 minutes,7:30:00 AM,School Bus/Public Transit,Night owl,
3/7/2022 20:14:41,Grade 11,1,perogies ,Chemistry  Biology  Physics  Math  English,<4 hours,4,<10 minutes,7:00:00 AM,Someone else drives me,Night owl,
3/3/2022 15:26:17,Grade 10,2,Perogies/Dumplings,No AP,<3 hours,4,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:41:53,Grade 12,5,Pierogi,Chemistry  Biology  Physics  Math  GH,<2 hours,3,<30 minutes,7:50:00 AM,I drive myself,Night owl,
3/3/2022 13:13:24,Grade 12,5,Pizza,Chemistry  Physics  Math,<2 hours,4,<15 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 13:13:31,Grade 10,1,pizza,Math  GH  English  Programming,<2 hours,3,<45 minutes,7:45:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 13:15:26,Grade 10,1,pizza,Math  GH,<4 hours,3,<30 minutes,7:50:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 13:26:28,Grade 10,1,Pizza,Math  English,<3 hours,2,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/4/2022 13:21:29,Grade 10,5,Pizza or tacos,English,<4 hours,3,<45 minutes,7:55:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 13:15:09,Grade 10,5,Pork Dumplings,Math  GH  English,<4 hours,3,<15 minutes,7:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:16:49,Grade 10,2,Pork dumplings,GH  English  French,<3 hours,3,<10 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:20:24,Grade 11,1,Pork Dumplings,Chemistry  Biology  Math  English  Spanish,>4 hours,4,<45 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:23:37,Grade 11,1,Pork Dumplings,Chemistry  Biology,<2 hours,5,<45 minutes,8:25:00 AM,I drive myself,Night owl,
3/3/2022 13:40:15,Grade 12,2,Pork Dumplings,Chemistry  Biology  Physics  Math  GH,<1 hour,2,<30 minutes,7:40:00 AM,I drive myself,Early bird,
3/3/2022 14:00:53,Grade 12,2,Pork Dumplings,No AP,<2 hours,3,<10 minutes,8:20:00 AM,I drive myself,Night owl,
3/3/2022 18:36:47,Grade 10,5,Pork Dumplings,Math  GH  English  Spanish,<3 hours,3,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 14:09:13,Grade 10,1,pork dumplings ,Math,<3 hours,3,<45 minutes,8:00:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 14:27:10,Grade 12,4,Pork Dumplings ,Physics,<2 hours,4,<15 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 14:11:19,Grade 11,4,Pork Dumplings and Stir Fry Noodles,No AP,<2 hours,4,<10 minutes,8:20:00 AM,I drive myself,Night owl,
3/3/2022 13:35:30,Grade 11,5,Pork tenderloin,Chemistry  Physics  Math,<3 hours,3,<10 minutes,8:15:00 AM,I drive myself,Night owl,
3/3/2022 13:19:51,Grade 10,5,Pork Tenderloin ,GH  English,<2 hours,3,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:34:10,Grade 11,1,Quesadilla,Chemistry  Biology  Physics  Math,<1 hour,3,<15 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/3/2022 13:11:52,Grade 12,1,Roast Beef and Wedges,Biology  GH,>4 hours,4,<15 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:21:59,Grade 11,5,shepards pie,Art/Drama,>4 hours,5,<30 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 13:36:13,Grade 12,5,Shepherd's Pie,Math  Programming,<3 hours,4,<10 minutes,7:40:00 AM,Someone else drives me,Night owl,
3/3/2022 17:19:40,Grade 12,5,Shepherd's Pie,No AP,<2 hours,2,<15 minutes,7:55:00 AM,I drive myself,Night owl,
3/3/2022 13:40:34,Grade 12,5,Souvlaki Chicken,Chemistry  Biology  Physics  Math,<3 hours,3,<30 minutes,8:05:00 AM,I drive myself,Night owl,
3/8/2022 0:39:43,Grade 10,5,Spagetti,Math  English,<3 hours,3,<30 minutes,8:07:00 AM,Someone else drives me,Night owl,
3/3/2022 13:57:22,Grade 12,5,Spaghetti ,Math,>4 hours,5,<15 minutes,8:05:00 AM,I drive myself,Night owl,
3/3/2022 13:59:48,Grade 12,0,Taco.,No AP,>4 hours,4,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:14:31,Grade 10,1,tacos,Math  GH  English,<3 hours,3,<30 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/3/2022 13:16:09,Grade 12,1,tacos,Biology  GH  English  Art/Drama,>4 hours,3,<45 minutes,7:45:00 AM,I drive myself,Night owl,
3/3/2022 13:43:53,Grade 12,5,Tacos,Chemistry  Math  GH,<2 hours,4,<15 minutes,7:45:00 AM,I drive myself,Early bird,
3/3/2022 13:59:15,Grade 12,4,tacos,No AP,<1 hour,5,<10 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 19:14:21,Grade 10,3,tacos,Math,<3 hours,3,<15 minutes,8:10:00 AM,Someone else drives me,Early bird,
3/4/2022 8:27:16,Grade 11,2,Tacos,Chemistry  Biology  Physics  Math,<2 hours,3,<10 minutes,8:00:00 AM,I drive myself,Night owl,
3/7/2022 7:40:27,Grade 10,2,Tacos,Math  GH  English  French,<2 hours,3,<10 minutes,7:25:00 AM,Someone else drives me,Night owl,
3/3/2022 13:31:07,Grade 12,5,Tacos ,No AP,<2 hours,4,<15 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:15:43,Grade 11,5,Teriyaki Chicken,Chemistry  Biology  Physics  Math,<2 hours,4,<10 minutes,7:35:00 AM,Someone else drives me,Night owl,
3/3/2022 13:19:55,Grade 11,3,Teriyaki Chicken,Chemistry  Biology  Math,<2 hours,5,<30 minutes,8:05:00 AM,I drive myself,Night owl,
3/3/2022 13:36:33,Grade 12,2,Teriyaki Chicken,No AP,<3 hours,3,<10 minutes,7:55:00 AM,Someone else drives me,Night owl,
3/3/2022 13:40:09,Grade 12,1,Teriyaki Chicken,Chemistry  Biology  Math  GH,>4 hours,3,<10 minutes,8:00:00 AM,I drive myself,Early bird,
3/3/2022 14:03:20,Grade 10,4,Teriyaki Chicken,Math  English,<4 hours,2,<15 minutes,7:00:00 AM,Someone else drives me,Night owl,
3/3/2022 19:44:21,Grade 12,5,Teriyaki Chicken,Physics,<1 hour,4,<30 minutes,8:00:00 AM,I drive myself,Night owl,
3/4/2022 10:05:02,Grade 11,5,TERIYAKI CHICKEN,Chemistry  Physics  Math,<3 hours,3,<10 minutes,7:50:00 AM,I drive myself,Early bird,
3/4/2022 10:06:15,Grade 10,4,teriyaki chicken,Math  French,<4 hours,3,<30 minutes,8:00:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 13:39:12,Grade 12,5,Teriyaki chicken ,No AP,<3 hours,3,<45 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:40:06,Grade 12,1,Teriyaki Chicken ,Chemistry  Biology  Math,<3 hours,4,<10 minutes,8:05:00 AM,I drive myself,Early bird,
3/3/2022 13:18:44,Grade 11,3,Teriyaki Chicken and Lemon loaf or tart,English,>4 hours,4,<45 minutes,8:10:00 AM,Someone else drives me,Early bird,
3/3/2022 14:00:41,Grade 10,1,Teriyaki Chicken and Rice,Math  English,<1 hour,4,<45 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 16:06:17,Grade 10,1,The pork with jasmine rice,Math  GH  English  Spanish,<2 hours,3,<15 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:15:20,Grade 10,1,The pumpkin pie,Math  English,<1 hour,4,<10 minutes,8:17:00 AM,Someone else drives me,Night owl,
3/3/2022 13:37:25,Grade 10,1,those potato wedges yum,Math  English,<2 hours,4,<30 minutes,8:06:00 AM,segway,Night owl,
3/3/2022 13:17:29,Grade 12,2,Turkey (if available) / custom cheese pizza,Chemistry  Physics  Math  Programming,<3 hours,5,<10 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 15:02:15,Grade 12,3,vegetarian hot dogs,No AP,>4 hours,4,<10 minutes,7:45:00 AM,Someone else drives me,Night owl,
12/2/2021 18:03:27,Grade 12,0,,Chemistry  Physics  Math  Programming,<3 hours,4,<10 minutes,8:12:00 AM,Walk or Bike,Early bird,Non standard answer
3/3/2022 13:12:16,Grade 10,0,,Math  English  Spanish,<2 hours,3,<30 minutes,7:50:00 AM,Someone else drives me,Night owl,
3/3/2022 13:14:01,Grade 10,0,,Math  GH,<2 hours,3,<30 minutes,7:45:00 AM,Someone else drives me,Early bird,
3/3/2022 13:14:24,Grade 10,0,,Math  GH,<1 hour,3,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:15:13,Grade 10,0,,Math  GH,<2 hours,3,<10 minutes,8:20:00 AM,Someone else drives me,Night owl,
3/3/2022 13:17:05,Grade 12,0,,Chemistry  Biology  Physics  Math  GH  English,<1 hour,2,<45 minutes,7:45:00 AM,School Bus/Public Transit,Early bird,
3/3/2022 13:19:04,Grade 12,0,,No AP,<3 hours,2,<10 minutes,7:10:00 AM,Someone else drives me,Night owl,
3/3/2022 13:23:22,Grade 11,0,,Chemistry  Biology  Math,<1 hour,5,>60 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 13:34:55,Grade 10,0,,No AP,<2 hours,3,<30 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/3/2022 13:35:04,Grade 12,0,,Physics  GH  English,<3 hours,3,<10 minutes,8:10:00 AM,I drive myself,Night owl,
3/3/2022 13:36:27,Grade 10,0,,Math  GH,<3 hours,3,<30 minutes,8:00:00 AM,Someone else drives me,Early bird,
3/3/2022 13:39:04,Grade 10,3,,Math  English  Art/Drama,>4 hours,5,<10 minutes,8:00:00 AM,Walk or Bike,Night owl,
3/3/2022 13:39:10,Grade 10,0,,Chemistry  Math,<2 hours,3,<30 minutes,7:30:00 AM,Someone else drives me,Night owl,
3/3/2022 13:43:54,Grade 11,0,,Chemistry  Biology  Physics  Math  English,<1 hour,2,<30 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 13:58:34,Grade 12,1,,GH,<3 hours,4,<10 minutes,8:00:00 AM,Walk or Bike,Night owl,
3/3/2022 13:58:35,Grade 12,0,,No AP,<4 hours,4,<30 minutes,7:45:00 AM,I drive myself,Night owl,
3/3/2022 14:13:55,Grade 11,0,,Chemistry  Biology  Physics  Math,<4 hours,4,<30 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/3/2022 14:30:38,Grade 11,0,,Chemistry  Biology  Physics  Math  English,<3 hours,3,<30 minutes,8:00:00 AM,I drive myself,Night owl,
3/3/2022 14:43:37,Grade 11,0,,Physics  Math  GH  English,<1 hour,3,<10 minutes,8:05:00 AM,Someone else drives me,Night owl,
3/3/2022 14:56:56,Grade 10,0,,Math  GH,<1 hour,3,<30 minutes,7:30:00 AM,I drive myself,Early bird,
3/3/2022 15:20:40,Grade 11,0,,Chemistry  Biology  Physics  Math  English  Programming,<3 hours,3,<30 minutes,8:00:00 AM,School Bus/Public Transit,Night owl,
3/3/2022 15:27:19,Grade 10,0,,Math,<2 hours,2,<45 minutes,8:05:00 AM,Someone else drives me,Night owl,
3/3/2022 15:56:52,Grade 10,0,,No AP,<3 hours,3,<10 minutes,8:00:00 AM,Someone else drives me,Night owl,
3/3/2022 16:10:14,Grade 10,0,,Math  GH,<1 hour,3,<15 minutes,8:25:00 AM,Someone else drives me,Night owl,
3/3/2022 16:28:40,Grade 12,0,,Chemistry  Physics  Programming,<1 hour,2,<15 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/3/2022 18:53:11,Grade 10,0,,Math  GH  English,<3 hours,4,<15 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/3/2022 21:35:10,Grade 10,0,,GH,<4 hours,4,<45 minutes,8:10:00 AM,Someone else drives me,Night owl,
3/3/2022 23:07:32,Grade 10,0,,Math  GH  English  Spanish,>4 hours,3,<10 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/4/2022 9:00:10,Grade 11,0,,Chemistry  Biology  Physics  Math,<2 hours,4,<15 minutes,8:15:00 AM,Someone else drives me,Night owl,
3/4/2022 10:01:34,Grade 11,0,,Math,<2 hours,4,<30 minutes,8:20:00 AM,I drive myself,Night owl,
3/4/2022 11:27:14,Grade 10,0,,Math,<2 hours,3,<15 minutes,7:50:00 AM,Someone else drives me,Early bird,
3/4/2022 12:59:49,Grade 11,0,,GH,<3 hours,4,<10 minutes,7:55:00 AM,Someone else drives me,Night owl,
3/4/2022 14:50:26,Grade 10,0,,Math  English  Spanish,<3 hours,4,<10 minutes,8:10:00 AM,Walk or Bike,Night owl,
